Date,Apple,Boeing,Nvdia,Palantir,Pfizer,Tesla,Netflix,Meta,Intel,LMT,Rivian
5/20/2022,$137.59 ,$120.70 ,$16.69 ,$8.08 ,$52.47 ,$221.30 ,$186.35 ,$193.54 ,$41.65 ,$424.15 ,$28.92
5/13/2022,$147.11 ,$127.20 ,$17.71 ,$8.34 ,$49.92 ,$256.53 ,$187.64 ,$198.62 ,$43.60 ,$435.17 ,$26.70
5/6/2022,$157.28 ,$148.90 ,$18.68 ,$9.48 ,$49.04 ,$288.55 ,$180.97 ,$203.77 ,$44.30 ,$449.43 ,$28.79
4/29/2022,$157.65 ,$148.84 ,$18.55 ,$10.40 ,$49.07 ,$290.25 ,$190.36 ,$200.47 ,$43.59 ,$432.12 ,$30.24
4/22/2022,$161.79 ,$176.92 ,$19.52 ,$11.96 ,$48.13 ,$335.02 ,$215.52 ,$184.11 ,$46.54 ,$445.79 ,$33.61
4/8/2022,$170.09 ,$175.20 ,$23.12 ,$12.70 ,$55.17 ,$341.83 ,$355.88 ,$222.33 ,$47.02 ,$461.52 ,$38.80
4/1/2022,$174.31 ,$190.76 ,$26.71 ,$13.83 ,$51.57 ,$361.53 ,$373.47 ,$224.85 ,$48.11 ,$445.98 ,$46.44
3/25/2022,$174.72 ,$188.95 ,$27.69 ,$12.97 ,$52.78 ,$336.88 ,$373.85 ,$221.82 ,$51.83 ,$453.66 ,$46.16
3/18/2022,$163.98 ,$192.83 ,$26.45 ,$12.82 ,$54.51 ,$301.80 ,$380.60 ,$216.49 ,$47.45 ,$426.18 ,$45.60
3/11/2022,$154.73 ,$176.23 ,$22.10 ,$11.39 ,$50.27 ,$265.12 ,$340.32 ,$187.61 ,$45.83 ,$439.04 ,$38.05
3/4/2022,$163.17 ,$180.84 ,$22.94 ,$10.96 ,$48.65 ,$279.43 ,$361.73 ,$200.06 ,$48.07 ,$458.15 ,$47.39
2/25/2022,$164.85 ,$201.48 ,$24.16 ,$11.47 ,$47.72 ,$269.96 ,$390.80 ,$210.48 ,$47.71 ,$409.49 ,$63.43
